22,12,21,0,20,3,8,5,13,20,15,0,10,24,8,19,0,10,3,26,10,13,16,3,13,16,8,32,14,13,20,22,6,1,8,20,1,10,11,10,20,1,13,14,21,13,0,23,4,20,1,25,22,17,26,20,20,10,20,5,19,4,24,16,17,4,1,20,16,16,3,17,19,21,6,3,8,0,29,17,8,4,23,3,15,4,22,16,20,24,21,4,19,26,21,10,10,20,1,25
24,20,23,8,21,20,21,15,23,25,19,16,25,29,29,20,33,21,4,34,20,22,21,26,20,28,17,34,20,16,23,23,12,5,14,32,15,12,17,35,27,22,15,19,23,22,25,26,30,22,13,35,23,21,29,23,26,17,29,12,32,19,32,22,26,20,35,21,32,24,22,19,21,23,24,17,14,3,32,20,24,10,26,20,20,8,24,21,22,25,22,20,24,41,23,20,22,21,16,33
25,24,24,17,25,30,39,20,32,33,27,36,37,30,32,22,44,24,20,40,37,24,22,27,36,29,20,36,25,29,34,24,21,20,16,42,20,17,20,40,29,30,17,23,30,25,26,29,49,27,24,36,26,23,39,25,30,23,30,19,33,23,36,25,30,25,38,28,38,38,24,20,22,27,36,21,25,14,40,21,25,22,27,23,27,24,25,22,24,34,23,21,37,45,24,22,29,25,23,39
27,25,25,20,29,32,42,23,44,35,29,42,40,33,37,25,46,39,33,43,38,33,37,30,43,48,32,37,30,39,50,25,22,22,20,44,22,27,26,53,33,41,22,26,34,26,29,37,52,32,25,40,29,36,41,29,45,28,37,31,37,29,43,30,33,28,41,36,41,39,25,22,23,29,39,22,32,20,47,25,27,23,31,24,29,26,27,25,42,37,25,23,38,49,29,23,33,30,36,40
29,27,39,25,36,33,48,24,50,41,36,55,44,37,43,44,48,41,36,44,46,36,39,32,47,59,39,40,37,53,64,44,24,24,28,45,28,30,30,56,35,42,24,37,38,41,32,40,56,35,33,56,32,40,43,37,51,31,45,32,41,30,44,32,37,31,46,37,45,40,29,23,37,30,40,37,41,24,48,36,28,25,35,25,37,29,37,30,51,39,33,24,48,58,32,26,37,37,40,41
31,29,40,30,50,38,50,39,51,43,37,60,46,38,45,47,53,44,37,47,50,37,46,39,50,60,54,42,47,54,65,46,25,25,29,47,29,37,32,57,36,43,33,40,41,59,38,41,60,36,36,59,37,42,60,43,52,34,46,37,47,31,45,33,44,36,49,41,59,61,36,24,38,38,43,41,43,40,49,42,34,29,36,39,38,32,58,43,55,40,38,32,55,60,37,36,39,43,41,42
33,33,44,31,60,47,52,41,58,47,46,62,76,39,50,50,54,48,44,50,52,38,48,43,52,62,56,49,55,55,83,49,35,27,37,49,50,42,33,61,44,50,44,42,42,64,40,42,65,37,37,62,39,45,77,45,55,35,51,40,52,32,51,35,47,38,52,56,64,63,41,30,47,50,45,44,48,41,52,49,36,30,42,40,50,36,59,44,59,42,41,34,67,63,43,46,42,45,47,44
46,35,50,36,65,48,60,42,75,49,47,68,79,45,53,51,56,50,51,51,54,39,53,45,54,72,60,55,58,59,90,57,36,30,44,50,52,45,38,66,51,52,47,46,44,80,42,43,70,42,41,66,41,48,87,48,59,41,56,43,55,36,52,44,51,40,55,63,68,64,51,36,48,52,47,45,51,50,57,52,41,33,43,43,58,42,60,47,63,50,47,36,70,69,46,48,47,50,51,51
47,37,51,37,72,57,63,55,78,52,49,75,90,47,56,60,58,52,55,56,56,42,61,47,59,81,73,58,59,60,92,63,40,34,58,55,55,51,41,67,52,57,48,49,48,88,45,50,74,45,44,82,42,57,88,69,67,44,64,45,57,47,56,45,52,50,58,64,70,72,62,46,52,55,50,46,52,60,62,58,43,35,47,45,59,49,67,58,64,52,50,37,73,74,47,56,48,59,52,62
54,38,59,41,73,58,69,66,91,53,51,77,95,51,60,68,60,60,59,57,57,44,63,54,67,83,74,60,61,63,93,71,45,35,59,60,57,52,48,73,59,59,52,55,57,90,51,51,79,49,46,93,49,63,92,72,83,48,75,52,63,49,61,46,57,59,61,74,92,84,65,47,53,66,60,48,63,63,65,65,51,36,49,53,67,50,72,59,88,53,51,47,76,75,48,57,53,69,54,66
