23	25	26	28	30	32	34	47	48	55	56	59	63	64	66	67	71	73	74	75	81	88	96	98	99	0	0	0
13	21	25	26	28	30	34	36	38	39	43	55	56	61	71	77	78	79	98	100	0	0	0	0	0	0	0	0
22	24	25	26	40	41	45	51	52	60	64	65	68	70	75	76	81	82	86	91	94	96	97	99	0	0	0	0
1	9	18	21	26	31	32	37	38	42	46	51	52	53	55	57	61	65	66	74	81	88	91	93	94	97	98	99
21	22	26	30	37	51	61	66	73	74	75	77	80	85	88	91	93	94	96	100	0	0	0	0	0	0	0	0
4	21	31	33	34	39	48	49	58	59	62	64	67	73	77	80	81	87	90	95	96	0	0	0	0	0	0	0
9	22	40	43	49	51	53	61	64	70	73	77	78	80	82	83	84	86	89	92	95	98	99	0	0	0	0	0
6	16	21	24	25	40	42	43	56	67	68	73	76	80	82	85	91	92	93	94	96	97	98	99	0	0	0	0
14	24	33	45	51	52	59	76	79	92	93	95	96	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	26	34	36	42	44	48	50	53	54	61	65	77	80	85	91	95	96	98	100	0	0	0	0	0	0	0	0
16	20	28	30	37	38	47	48	50	52	53	57	71	77	78	82	94	95	96	97	98	0	0	0	0	0	0	0
1	17	37	43	56	61	63	69	76	78	86	87	91	96	98	0	0	0	0	0	0	0	0	0	0	0	0	0
11	26	38	41	45	47	77	80	91	96	97	98	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	30	31	34	38	39	40	46	48	52	53	56	61	62	70	71	73	75	82	88	90	91	92	95	0	0	0	0
9	30	33	38	44	46	51	54	57	61	71	73	77	78	81	84	87	92	94	96	97	98	0	0	0	0	0	0
20	21	23	26	45	48	51	52	61	69	76	83	87	91	95	96	98	0	0	0	0	0	0	0	0	0	0	0
1	34	45	47	49	54	55	57	59	61	65	72	75	78	79	89	93	95	96	97	98	0	0	0	0	0	0	0
11	22	25	40	42	45	49	51	53	61	66	73	87	91	93	96	100	0	0	0	0	0	0	0	0	0	0	0
4	5	21	34	37	38	45	52	56	60	63	68	70	71	73	91	94	95	96	97	98	99	0	0	0	0	0	0
27	35	41	44	45	48	51	52	57	58	61	68	77	88	93	94	97	98	100	0	0	0	0	0	0	0	0	0
11	21	38	39	47	51	53	55	57	58	61	66	67	73	76	77	84	87	91	93	97	0	0	0	0	0	0	0
14	23	25	34	37	38	39	40	43	45	49	55	57	62	67	71	74	78	87	93	0	0	0	0	0	0	0	0
17	22	23	38	40	47	49	54	62	64	71	73	74	76	79	82	89	92	99	100	0	0	0	0	0	0	0	0
4	27	28	31	33	40	44	46	48	55	56	83	85	86	87	91	96	0	0	0	0	0	0	0	0	0	0	0
14	21	37	44	48	51	53	55	60	68	87	92	94	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	29	30	49	60	61	63	73	82	84	89	92	93	96	98	99	0	0	0	0	0	0	0	0	0	0	0	0
9	18	21	33	40	55	57	61	74	75	76	80	81	83	84	90	91	93	94	96	98	99	100	0	0	0	0	0
33	35	37	38	41	43	50	56	59	61	73	74	88	95	96	97	98	0	0	0	0	0	0	0	0	0	0	0
15	21	26	31	38	48	56	59	60	62	65	72	77	78	87	90	91	93	95	96	98	100	0	0	0	0	0	0
14	17	30	40	54	55	56	60	61	64	66	84	94	95	97	100	0	0	0	0	0	0	0	0	0	0	0	0
21	24	35	51	65	66	84	91	93	94	95	96	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	24	25	26	45	47	50	58	64	72	82	91	92	93	94	95	98	0	0	0	0	0	0	0	0	0	0	0
7	13	22	23	25	26	36	37	41	46	48	53	55	57	58	61	62	63	67	68	91	92	96	97	98	99	0	0
2	6	21	23	25	26	28	31	35	36	37	46	49	55	56	64	70	74	75	77	80	82	95	96	98	100	0	0
9	15	17	21	29	30	38	45	59	60	65	68	74	75	76	77	87	91	92	95	97	98	99	0	0	0	0	0
21	33	43	45	46	48	50	51	56	61	64	65	74	79	82	91	93	94	95	96	97	98	99	0	0	0	0	0
2	16	21	23	29	30	51	53	56	58	61	68	75	87	88	89	92	94	95	96	97	0	0	0	0	0	0	0
11	13	18	28	31	38	43	46	52	53	55	59	62	63	77	84	88	91	92	94	97	98	0	0	0	0	0	0
12	18	21	27	31	33	34	39	42	49	59	63	73	74	78	80	82	85	88	89	95	97	98	99	100	0	0	0
11	36	41	54	57	58	62	67	68	74	85	87	91	95	97	0	0	0	0	0	0	0	0	0	0	0	0	0
21	28	30	34	36	37	45	52	53	60	65	67	71	73	89	92	93	100	0	0	0	0	0	0	0	0	0	0
2	23	31	42	43	44	51	53	58	60	66	68	69	76	80	90	91	93	94	95	96	97	99	0	0	0	0	0
14	16	18	23	25	34	45	48	49	53	56	68	78	84	95	96	0	0	0	0	0	0	0	0	0	0	0	0
15	20	24	27	38	41	43	47	50	56	60	63	69	70	77	84	88	96	97	98	0	0	0	0	0	0	0	0
22	24	31	35	39	42	43	45	49	58	68	73	74	77	79	83	87	88	92	93	95	96	0	0	0	0	0	0
